id;livro;data;total
1;interface;2020-05-04;Cambridgeshire Intelligent
2;Valleys Cambridgeshire;2020-05-04;paradigms Handmade Rubber Salad drive
3;synthesizing zero tolerance indexing;2020-05-03;hack
4;interactive;2020-05-03;Arizona cultivate leading edge
5;alarm bi-directional Maryland;2020-05-04;Personal Loan Account
6;Cambridgeshire Mauritius Rupee;2020-05-03;generate grey quantifying
7;Hat primary Progressive;2020-05-04;circuit
8;Rubber focus group;2020-05-04;incentivize Group Berkshire
9;Liaison;2020-05-04;Chips Illinois
10;viral internet solution Investment Account;2020-05-04;Jersey Cuban Peso Peso Convertible parsing
